t̪eːɾeː t̪eːɾiː eː iː
kiː kɑː iː ɑː
kiː ɦiː k ɦ
kiː keː iː eː
kiː koː iː oː
kiː liː k l
t̪oː t̪uː oː uː
t̪oː s̪oː t̪ s̪
t̪oː d̪oː t̪ d̪
t̪oː ɑːoː t̪ ɑː
t̪oː t̪iː oː iː
ɾəɦiː ɾəɦɑː iː ɑː
ɾəɦiː ɾəɦeː iː eː
kəɪs̪eː pəɪs̪eː k p
t̪uː t̪oː uː oː
t̪uː t̪iː uː iː
d̪ʰə̃d̪ʰɑː d̪ʰə̃d̪ʰeː ɑː eː
kɑː keː ɑː eː
kɑː kiː ɑː iː
kɑː koː ɑː oː
kɑː jɑː k j
ɦoːt̪ɑː ɦoːt̪eː ɑː eː
bʰiː s̪iː bʰ s̪
bʰiː d̪iː bʰ d̪
bʰiː t̪iː bʰ t̪
t͡ʃʰoːʈɑː t͡ʃʰoːʈeː ɑː eː
d̪ʰə̃d̪ʰeː d̪ʰə̃d̪ʰɑː eː ɑː
s̪eː d̪eː s̪ d̪
s̪eː s̪oː eː oː
s̪eː n̪eː s̪ n̪
s̪eː s̪iː eː iː
bəɽɑː bəɽeː ɑː eː
meːɾiː meːɾɑː iː ɑː
meːɾiː meːɾeː iː eː
t̪ʰiː t̪ʰeː iː eː
t̪ʰiː t̪ʰoː iː oː
t̪ʰiː t̪ʰɑː iː ɑː
meːɾɑː meːɾeː ɑː eː
meːɾɑː meːɾiː ɑː iː
kəmə ɦəmə k ɦ
kəmə kəɦə m ɦ
kəmə kəɾə m ɾ
ɪn̪əkiː ɪn̪əkeː iː eː
ɦəkə ɦəmə k m
ɑːpəkiː ɑːpəkoː iː oː
ɦoː ʋoː ɦ ʋ
ɦoː ɦiː oː iː
ɦoː ɦɛ̃ oː ɛ̃
ɦoː ɦeː oː eː
ɦoː koː ɦ k
ɦoː loː ɦ l
ʋoː koː ʋ k
ʋoː ɦoː ʋ ɦ
ʋoː loː ʋ l
ɦiː ɦɛ̃ iː ɛ̃
ɦiː kiː ɦ k
ɦiː ɦeː iː eː
ɦiː ɦoː iː oː
ɦiː liː ɦ l
n̪ɪkələt̪eː n̪ɪkələt̪ɑː eː ɑː
ɦɛ̃ ɦeː ɛ̃ eː
ɦɛ̃ ɦoː ɛ̃ oː
ɦɛ̃ ɦiː ɛ̃ iː
ɪd̪ʰəɾə ud̪ʰəɾə ɪ u
